"","fastq_ID","input","filtered","denoisedF","denoisedR","merged","nonchim","tax_reads","decon_reads"
"200","e05689_E",7859,6901,6872,6709,0,0,0,0
"201","e05689_F",6031,5290,5176,5,4,4,4,0
"202","e05690_D",8871,7713,9,7402,0,0,0,0
"203","e05690_E",8864,7671,11,13,11,11,0,0
"204","e05690_F",7699,6737,6665,6547,0,0,0,0
"205","e05691_D",8908,7229,7155,62,0,0,0,0
"206","e05691_E",7629,6285,23,5781,0,0,0,0
"207","e05691_F",5383,4421,23,25,22,22,0,0
"208","e05692_D",10820,9433,26,26,18,18,18,0
"209","e05692_E",9606,8401,8205,23,10,10,10,0
"210","e05692_F",50249,44681,44298,44491,44143,43841,42946,42946
"211","e05693_D",69302,61747,61668,61394,61217,60945,60945,60945
"212","e05693_E",65726,58405,58083,58005,57642,57382,57382,57382
"213","e05693_F",8845,7675,70,69,56,56,56,0
"214","e05694_D",5605,4880,4803,13,0,0,0,0
"215","e05694_E",35850,31852,27694,27761,27431,27213,27213,27213
"216","e05694_F",30711,27329,26982,27014,26719,26447,26447,26447
"217","e05695_D",5659,4941,14,4859,0,0,0,0
"218","e05695_E",7025,6176,6074,5951,0,0,0,0
"219","e05695_F",5790,5044,4879,5,5,5,0,0
"220","e05696_D",7396,6492,6358,17,17,17,0,0
"221","e05696_E",8974,7810,7661,10,3,3,3,0
"222","e05696_F",6722,5877,2409,5683,0,0,0,0
"223","e05697_D",11123,9686,4,4,4,4,4,0
"224","e05697_E",10908,9503,9438,9304,0,0,0,0
"225","e05697_F",7027,6108,6030,5929,0,0,0,0
"226","e05698_D",8999,7849,7800,7726,0,0,0,0
"227","e05698_E",8561,7497,16,16,16,16,0,0
"228","e05698_F",6693,5793,5774,5712,0,0,0,0
"229","e05699_D",8571,7298,7241,6592,0,0,0,0
"230","e05699_E",9396,7909,18,35,12,12,12,0
"231","e05699_F",6164,5194,5151,4939,0,0,0,0
"232","e05700_D",10072,8654,8606,6877,0,0,0,0
"233","e05700_E",10684,9224,9140,8615,0,0,0,0
"234","e05700_F",6711,5762,5595,36,4,4,4,0
"235","e05701_D",7895,6641,6591,16,0,0,0,0
"236","e05701_E",10514,8846,669,676,651,651,581,0
"237","e05701_F",5011,4219,27,35,25,25,18,0
"238","e05702_D",6094,5334,5256,5275,0,0,0,0
"239","e05702_E",7363,6450,6388,6292,0,0,0,0
"240","e05702_F",5725,5025,4974,4966,0,0,0,0
"241","NC_D",6529,5680,5651,5593,0,0,0,0
"242","NC_E",7781,6694,6539,231,205,205,179,0
"243","NC_F",5944,5114,5103,4878,0,0,0,0
"244","PC_D",35618,31574,30826,31091,30610,30069,29915,29915
"245","PC_E",40792,36224,35713,35722,35149,34546,34345,34345
"246","PC_F",39812,35267,34664,34875,34220,33640,33463,33463
