"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"e01014-G",53664,52338,52321,52308,52298,52290
"e01014-H",49894,48700,48684,48672,48650,48650
"e01014-I",47104,46670,46663,46647,46642,46642
"e01014-J",46701,46281,46273,46084,46078,46053
"e01014-K",42558,41519,41500,41506,41497,41484
"e01014-L",40691,39709,39694,39694,39681,39669
"e01015-G",26494,25627,24233,24264,22882,22460
"e01015-H",31471,30715,30510,30669,29548,26001
"e01015-I",6997,6947,6890,6940,6733,4899
"e01015-J",31929,31637,31620,31562,31413,31403
"e01015-K",23681,22860,22045,22000,20898,20563
"e01015-L",2217,1934,30,27,27,27
"e01112-G",16683,16135,15231,15085,14407,14402
"e01112-H",3556,3070,2714,81,0,0
"e01112-I",23750,23206,21647,21623,21342,21145
"e01112-J",2288,2004,34,2,0,0
"e01112-K",17328,16672,15452,15463,14802,14802
"e01112-L",1828,1547,38,39,33,33
"e01113-G",2809,2466,5,25,0,0
"e01113-H",3462,3016,24,39,8,8
"e01113-I",2626,2331,4,13,4,4
"e01113-J",2639,2366,2255,19,0,0
"e01113-K",1936,1702,1,13,0,0
"e01113-L",59371,57956,57937,57823,55765,55546
"e01114-G",2869,2492,3,4,0,0
"e01114-H",2278,2028,909,16,0,0
"e01114-I",2337,2056,8,9,5,5
"e01114-J",2454,2140,19,22,13,13
"e01114-K",1987,1666,35,36,31,31
"e01114-L",2071,1764,11,6,6,6
"e01115-G",1724,1492,8,15,8,8
"e01115-H",6989,6627,4258,4270,4254,4251
"e01115-I",1988,1714,1538,4,0,0
"e01115-J",2146,1911,818,98,0,0
"e01115-K",1253,1053,9,12,0,0
"e01115-L",1665,1418,44,33,33,33
"e01116-G",3210,2663,86,83,75,75
"e01116-H",2655,2013,38,39,31,31
"e01116-I",2803,2316,3,3,0,0
"e01116-J",2220,1620,20,24,16,16
"e01116-K",1918,1580,11,11,11,11
"e01116-L",35238,34342,34337,34335,34334,34334
"e01117-G",3183,2600,4,2,0,0
"e01117-H",2887,2391,501,85,0,0
"e01117-I",2459,2039,8,139,0,0
"e01117-J",2367,1981,4,24,0,0
"e01117-K",1829,1464,1228,83,0,0
"e01117-L",1816,1428,1168,17,0,0
"e01118-G",2724,2489,28,31,18,18
"e01118-H",2625,1951,1871,404,0,0
"e01118-I",2421,2223,45,5,0,0
"e01118-J",2114,1501,3,77,0,0
"e01118-K",34713,33743,32818,32807,31292,31033
"e01118-L",1810,1269,3,8,0,0
"e01119-G",2832,2573,7,7,7,7
"e01119-H",2745,2466,2414,184,0,0
"e01119-I",1273,1142,3,11,3,3
"e01119-J",3157,2770,8,40,0,0
"e01119-K",1964,1716,5,7,0,0
"e01119-L",2271,1983,2,7,0,0
"NegCon-H",2444,2080,3,85,0,0
"NegCon-J",62117,61573,61254,61502,59302,59259
"NegCon-L",2005,1593,1475,14,0,0
"PosCon-H",31332,30511,30270,30471,29045,28890
"PosCon-J",37432,37111,37039,37056,36514,36359
"PosCon-L",29314,28599,28562,28492,27712,27707
