"","total","spread","parent_id","curated","rank"
"ASV48",1862,1,"ASV48","parent",48
"ASV49",1622,1,"ASV1","merged",49
"ASV50",1329,1,"ASV18","merged",50
"ASV51",1260,1,"ASV9","merged",51
"ASV52",1205,1,"ASV7","merged",52
"ASV53",1158,1,"ASV19","merged",53
"ASV54",1130,1,"ASV22","merged",54
"ASV55",1045,1,"ASV1","merged",55
"ASV59",943,1,"ASV6","merged",59
"ASV60",877,1,"ASV1","merged",60
"ASV61",804,1,"ASV1","merged",61
"ASV62",801,1,"ASV2","merged",62
"ASV63",797,1,"ASV1","merged",63
"ASV65",754,1,"ASV1","merged",65
"ASV66",748,1,"ASV1","merged",66
"ASV67",747,1,"ASV15","merged",67
"ASV68",708,1,"ASV6","merged",68
"ASV70",617,1,"ASV12","merged",70
"ASV71",592,1,"ASV6","merged",71
"ASV72",585,1,"ASV14","merged",72
"ASV73",580,1,"ASV20","merged",73
"ASV74",574,1,"ASV1","merged",74
"ASV75",566,1,"ASV11","merged",75
"ASV77",552,1,"ASV9","merged",77
"ASV78",542,1,"ASV1","merged",78
"ASV79",538,1,"ASV3","merged",79
"ASV80",536,1,"ASV19","merged",80
"ASV81",528,1,"ASV7","merged",81
"ASV82",519,1,"ASV1","merged",82
"ASV83",496,1,"ASV6","merged",83
"ASV85",483,1,"ASV85","parent",85
"ASV86",470,1,"ASV1","merged",86
"ASV87",465,1,"ASV1","merged",87
"ASV88",464,1,"ASV1","merged",88
"ASV89",463,1,"ASV1","merged",89
"ASV90",457,1,"ASV10","merged",90
"ASV91",454,1,"ASV13","merged",91
"ASV92",450,1,"ASV4","merged",92
"ASV93",448,1,"ASV10","merged",93
"ASV94",447,1,"ASV1","merged",94
"ASV96",415,1,"ASV2","merged",96
"ASV97",404,1,"ASV7","merged",97
"ASV99",384,1,"ASV31","merged",100
"ASV101",381,1,"ASV1","merged",102
"ASV104",377,1,"ASV4","merged",104
"ASV105",374,1,"ASV6","merged",105
"ASV106",363,1,"ASV33","merged",106
"ASV107",362,1,"ASV1","merged",107
"ASV110",352,1,"ASV1","merged",110
"ASV111",343,1,"ASV15","merged",111
"ASV112",342,1,"ASV1","merged",112
"ASV113",337,1,"ASV2","merged",113
"ASV114",330,1,"ASV4","merged",114
"ASV115",329,1,"ASV10","merged",115
"ASV116",328,1,"ASV1","merged",116
"ASV118",319,1,"ASV12","merged",118
"ASV119",317,1,"ASV2","merged",119
"ASV121",308,1,"ASV2","merged",121
"ASV122",299,1,"ASV1","merged",122
"ASV123",287,1,"ASV11","merged",123
"ASV124",284,1,"ASV1","merged",124
"ASV126",278,1,"ASV126","parent",126
"ASV128",275,1,"ASV9","merged",128
"ASV129",274,1,"ASV1","merged",129
"ASV130",273,1,"ASV3","merged",130
"ASV131",265,1,"ASV1","merged",131
"ASV132",260,1,"ASV64","merged",132
"ASV133",260,1,"ASV133","parent",133
"ASV134",257,1,"ASV1","merged",134
"ASV135",257,1,"ASV8","merged",135
"ASV136",254,1,"ASV3","merged",136
"ASV137",248,1,"ASV4","merged",137
"ASV138",243,1,"ASV1","merged",138
"ASV139",240,1,"ASV139","parent",139
"ASV140",235,1,"ASV140","parent",140
"ASV141",233,1,"ASV4","merged",141
"ASV142",232,1,"ASV1","merged",142
"ASV143",232,1,"ASV1","merged",143
"ASV145",226,1,"ASV145","parent",145
"ASV146",224,1,"ASV14","merged",146
"ASV147",215,1,"ASV147","parent",147
"ASV148",213,1,"ASV7","merged",148
"ASV149",209,1,"ASV10","merged",149
"ASV150",205,1,"ASV1","merged",150
"ASV151",204,1,"ASV11","merged",151
"ASV152",203,1,"ASV7","merged",152
"ASV153",199,1,"ASV13","merged",153
"ASV154",197,1,"ASV21","merged",154
"ASV155",196,1,"ASV4","merged",155
"ASV156",196,1,"ASV1","merged",156
"ASV157",194,1,"ASV1","merged",157
"ASV158",191,1,"ASV21","merged",158
"ASV159",190,1,"ASV7","merged",159
"ASV160",186,1,"ASV8","merged",160
"ASV161",184,1,"ASV2","merged",161
"ASV162",184,1,"ASV1","merged",162
"ASV163",183,1,"ASV15","merged",164
"ASV165",181,1,"ASV3","merged",165
"ASV166",178,1,"ASV1","merged",166
"ASV167",177,1,"ASV1","merged",168
"ASV169",177,1,"ASV1","merged",169
"ASV170",176,1,"ASV3","merged",170
"ASV171",176,1,"ASV7","merged",171
"ASV172",176,1,"ASV35","merged",172
"ASV173",174,1,"ASV15","merged",173
"ASV174",172,1,"ASV11","merged",174
"ASV175",166,1,"ASV3","merged",175
"ASV176",165,1,"ASV1","merged",176
"ASV177",164,1,"ASV22","merged",177
"ASV178",160,1,"ASV8","merged",178
"ASV179",160,1,"ASV7","merged",179
"ASV180",158,1,"ASV180","parent",180
"ASV181",155,1,"ASV21","merged",181
"ASV182",153,1,"ASV6","merged",182
"ASV183",150,1,"ASV1","merged",183
"ASV184",150,1,"ASV2","merged",184
"ASV185",149,1,"ASV25","merged",185
"ASV186",149,1,"ASV1","merged",186
"ASV187",149,1,"ASV41","merged",187
"ASV188",148,1,"ASV2","merged",188
"ASV189",147,1,"ASV1","merged",189
"ASV190",146,1,"ASV2","merged",190
"ASV191",142,1,"ASV2","merged",191
"ASV192",141,1,"ASV1","merged",192
"ASV193",141,1,"ASV1","merged",193
"ASV194",141,1,"ASV7","merged",194
"ASV195",139,1,"ASV8","merged",195
"ASV196",138,1,"ASV2","merged",196
"ASV197",135,1,"ASV7","merged",197
"ASV198",134,1,"ASV1","merged",198
"ASV199",133,1,"ASV17","merged",199
"ASV200",132,1,"ASV12","merged",200
"ASV201",131,1,"ASV1","merged",201
"ASV202",130,1,"ASV25","merged",202
"ASV203",130,1,"ASV35","merged",203
"ASV204",129,1,"ASV19","merged",204
"ASV205",128,1,"ASV3","merged",205
"ASV206",128,1,"ASV10","merged",206
"ASV207",127,1,"ASV1","merged",207
"ASV208",126,1,"ASV2","merged",208
"ASV209",126,1,"ASV209","parent",209
"ASV210",125,1,"ASV15","merged",210
"ASV211",124,1,"ASV211","parent",211
"ASV212",124,1,"ASV10","merged",212
"ASV213",124,1,"ASV1","merged",213
"ASV214",124,1,"ASV1","merged",214
"ASV215",123,1,"ASV215","parent",215
"ASV216",123,1,"ASV35","merged",216
"ASV217",121,1,"ASV1","merged",217
"ASV218",120,1,"ASV19","merged",218
"ASV219",119,1,"ASV1","merged",219
"ASV220",119,1,"ASV4","merged",220
"ASV222",117,1,"ASV215","merged",222
"ASV223",116,1,"ASV3","merged",223
"ASV224",115,1,"ASV2","merged",224
"ASV225",113,1,"ASV16","merged",225
"ASV226",111,1,"ASV226","parent",226
"ASV227",110,1,"ASV1","merged",227
"ASV228",110,1,"ASV180","merged",228
"ASV229",109,1,"ASV4","merged",229
"ASV230",105,1,"ASV102","merged",230
"ASV231",102,1,"ASV231","parent",231
"ASV232",100,1,"ASV33","merged",232
"ASV233",99,1,"ASV233","parent",233
"ASV234",97,1,"ASV28","merged",234
"ASV235",97,1,"ASV235","parent",235
"ASV236",96,1,"ASV6","merged",236
"ASV237",95,1,"ASV12","merged",237
