"","fastq_ID","input","filtered","denoisedF","denoisedR","merged","nonchim","tax_reads","decon_reads"
"151","e01009_G",3834,3352,883,892,878,878,878,0
"152","e01009_H",3182,2862,27,34,25,25,0,0
"153","e01009_I",2339,1948,1621,701,0,0,0,0
"154","e01009_J",2627,2383,13,28,13,13,0,0
"155","e01009_K",2301,1887,63,1565,0,0,0,0
"156","e01009_L",2402,2108,16,6,6,6,6,0
"157","e01010_G",2449,2133,58,54,53,53,53,0
"158","e01010_H",2570,2212,23,23,20,20,15,0
"159","e01010_I",39409,39045,39039,39016,38723,38723,38723,38723
"160","e01010_J",2106,1885,27,22,19,19,19,0
"161","e01010_K",1745,1443,71,63,55,55,20,0
"162","e01010_L",29619,28862,28850,28829,27645,27642,27642,27642
"163","e01011_G",1992,1761,1505,1418,0,0,0,0
"164","e01011_H",28195,27562,27553,27542,26615,26426,26426,26426
"165","e01011_I",1952,1746,8,17,7,7,0,0
"166","e01011_J",1973,1691,21,20,14,14,14,0
"167","e01011_K",24480,23881,23870,23859,23028,23027,23027,23027
"168","e01011_L",29233,28564,28562,28564,27599,27593,27593,27593
"169","e01012_G",38568,37646,37632,37632,37598,37578,37106,37106
"170","e01012_H",26619,25922,25918,25563,25551,25422,25422,25422
"171","e01012_I",2217,1808,4,4,4,4,0,0
"172","e01012_J",25352,24701,24696,24173,24078,24009,23951,23951
"173","e01012_K",33408,32542,32519,32510,32473,31844,30404,30404
"174","e01012_L",27644,26903,26603,26693,25577,24348,24348,24348
"175","e01013_G",49157,47931,47074,47929,47046,46936,46002,46002
"176","e01013_H",44493,43422,43409,43394,43347,43347,41906,41906
"177","e01013_I",36625,36302,36288,36265,36140,31972,31658,31658
"178","e01013_J",38192,37839,37486,37817,36676,31948,31592,31592
"179","e01013_K",36329,35440,35429,35382,35353,35225,34256,34256
"180","e01013_L",34997,34203,34175,34154,33766,29565,29286,29286
"181","e01014_G",53664,52338,52321,52308,52298,52290,52290,52290
"182","e01014_H",49894,48700,48684,48672,48650,48650,48468,48468
"183","e01014_I",47104,46670,46663,46647,46642,46642,46642,46642
"184","e01014_J",46701,46281,46273,46084,46078,46053,46053,46053
"185","e01014_K",42558,41519,41500,41506,41497,41484,41484,41484
"186","e01014_L",40691,39709,39694,39694,39681,39669,39417,39417
"187","e01015_G",26494,25627,24233,24264,22882,22460,22460,22460
"188","e01015_H",31471,30715,30510,30669,29548,26001,25724,25724
"189","e01015_I",6997,6947,6890,6940,6733,4899,4704,4704
"190","e01015_J",31929,31637,31620,31562,31413,31403,31375,31375
"191","e01015_K",23681,22860,22045,22000,20898,20563,20563,20563
"192","e01015_L",2217,1934,30,27,27,27,27,0
"193","e01112_G",16683,16135,15231,15085,14407,14402,14402,14402
"194","e01112_H",3556,3070,2714,81,0,0,0,0
"195","e01112_I",23750,23206,21647,21623,21342,21145,21145,21145
"196","e01112_J",2288,2004,34,2,0,0,0,0
"197","e01112_K",17328,16672,15452,15463,14802,14802,14802,14802
"198","e01112_L",1828,1547,38,39,33,33,0,0
"199","e01113_G",2809,2466,5,25,0,0,0,0
"200","e01113_H",3462,3016,24,39,8,8,0,0
"201","e01113_I",2626,2331,4,13,4,4,0,0
"202","e01113_J",2639,2366,2255,19,0,0,0,0
"203","e01113_K",1936,1702,1,13,0,0,0,0
"204","e01113_L",59371,57956,57937,57823,55765,55546,55546,55546
"205","e01114_G",2869,2492,3,4,0,0,0,0
"206","e01114_H",2278,2028,909,16,0,0,0,0
"207","e01114_I",2337,2056,8,9,5,5,5,0
"208","e01114_J",2454,2140,19,22,13,13,13,0
"209","e01114_K",1987,1666,35,36,31,31,0,0
"210","e01114_L",2071,1764,11,6,6,6,6,0
"211","e01115_G",1724,1492,8,15,8,8,0,0
"212","e01115_H",6989,6627,4258,4270,4254,4251,4251,4251
"213","e01115_I",1988,1714,1538,4,0,0,0,0
"214","e01115_J",2146,1911,818,98,0,0,0,0
"215","e01115_K",1253,1053,9,12,0,0,0,0
"216","e01115_L",1665,1418,44,33,33,33,33,0
"217","e01116_G",3210,2663,86,83,75,75,75,0
"218","e01116_H",2655,2013,38,39,31,31,31,0
"219","e01116_I",2803,2316,3,3,0,0,0,0
"220","e01116_J",2220,1620,20,24,16,16,16,0
"221","e01116_K",1918,1580,11,11,11,11,0,0
"222","e01116_L",35238,34342,34337,34335,34334,34334,34334,34334
"223","e01117_G",3183,2600,4,2,0,0,0,0
"224","e01117_H",2887,2391,501,85,0,0,0,0
"225","e01117_I",2459,2039,8,139,0,0,0,0
"226","e01117_J",2367,1981,4,24,0,0,0,0
"227","e01117_K",1829,1464,1228,83,0,0,0,0
"228","e01117_L",1816,1428,1168,17,0,0,0,0
"229","e01118_G",2724,2489,28,31,18,18,18,0
"230","e01118_H",2625,1951,1871,404,0,0,0,0
"231","e01118_I",2421,2223,45,5,0,0,0,0
"232","e01118_J",2114,1501,3,77,0,0,0,0
"233","e01118_K",34713,33743,32818,32807,31292,31033,31033,31033
"234","e01118_L",1810,1269,3,8,0,0,0,0
"235","e01119_G",2832,2573,7,7,7,7,0,0
"236","e01119_H",2745,2466,2414,184,0,0,0,0
"237","e01119_I",1273,1142,3,11,3,3,0,0
"238","e01119_J",3157,2770,8,40,0,0,0,0
"239","e01119_K",1964,1716,5,7,0,0,0,0
"240","e01119_L",2271,1983,2,7,0,0,0,0
"241","NegCon_H",2444,2080,3,85,0,0,0,0
"242","NegCon_J",62117,61573,61254,61502,59302,59259,59259,59259
"243","NegCon_L",2005,1593,1475,14,0,0,0,0
"244","PosCon_H",31332,30511,30270,30471,29045,28890,28687,28687
"245","PosCon_J",37432,37111,37039,37056,36514,36359,36086,36086
"246","PosCon_L",29314,28599,28562,28492,27712,27707,27560,27560
